ebookNumber,Title,Author,Date,Language,Credits
0117,The Book of Mormon,Jr. Joseph Smith,Unknown Date,English,David Widger
0118,The Federalist Papers,Alexander Hamilton,Unknown Date,English,Unknown Credits
0120,Paradise Lost,John Milton,Unknown Date,English,Judy Boss
0122,Roget's Thesaurus,Peter Mark Roget,Unknown Date,English,MICRA, Inc.
0123,Narrative of the Life of Frederick Douglass, an American Slave,Frederick Douglass,Unknown Date,English,An Anonymous Volunteer and David Widger
0121,Aesop's Fables,Aesop,Unknown Date,English,David Widger
0119,The Song of Hiawatha,Henry Wadsworth Longfellow,Unknown Date,English,Unknown Credits
